Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-02-17,Food,3.05E+11,2023-02-17,50,0,1270.39
2023-02-17,Misc,3.05E+11,2023-02-17,475,0,795.39
2023-02-17,Food,3.41E+11,2023-02-17,30,0,765.39
2023-02-18,Food,3.42E+11,2023-02-18,10,0,755.39
2023-02-18,Food,3.05E+11,2023-02-18,60,0,695.39
2023-02-18,Food,3.42E+11,2023-02-18,20,0,675.39
2023-02-18,Food,3.42E+11,2023-02-18,70,0,605.39
2023-02-18,Food,3.42E+11,2023-02-18,20,0,585.39
2023-02-19,Misc,3.05E+11,2023-02-19,150.5,0,434.89
2023-02-19,Misc,3.05E+11,2023-02-19,136,0,298.89
2023-02-19,Misc,3.42E+11,2023-02-19,8,0,290.89
2023-02-19,Food,3.05E+11,2023-02-19,67,0,223.89
2023-02-19,Food,3.05E+11,2023-02-19,100,0,123.89
2023-02-19,Food,3.42E+11,2023-02-19,40,0,83.89
2023-02-20,Food,3.42E+11,2023-02-20,40,0,43.89
2023-02-20,Misc,3.42E+11,2023-02-20,0,500,543.89
2023-02-20,Food,3.05E+11,2023-02-20,65,0,478.89
2023-02-20,Food,3.42E+11,2023-02-20,20,0,458.89
2023-02-20,Food,3.05E+11,2023-02-20,45,0,413.89
2023-02-21,Food,3.42E+11,2023-02-21,33,0,380.89
2023-02-21,Food,3.05E+11,2023-02-21,40,0,340.89
2023-02-21,Food,3.42E+11,2023-02-21,30,0,310.89
2023-02-21,Food,3.05E+11,2023-02-21,50,0,260.89
2023-02-21,Food,3.05E+11,2023-02-21,35,0,225.89
2023-02-22,Misc,3.42E+11,2023-02-22,0,6000,6225.89
2023-02-22,Misc,3.05E+11,2023-02-22,5500,0,725.89
2023-02-22,Food,3.42E+11,2023-02-22,50,0,675.89
2023-02-22,Food,3.42E+11,2023-02-22,35,0,640.89
2023-02-22,Food,3.05E+11,2023-02-22,50,0,590.89
2023-02-22,Food,3.05E+11,2023-02-22,42,0,548.89
2023-02-23,Food,3.42E+11,2023-02-23,20,0,528.89
